game,team,difficulty,formation,lineup
Genclerbirligi vs. Antalyaspor - Sunday October 16 - 2011,Antalyaspor,hard,4-2-3-1,CATKIC;NIZAM;BARIS;TURAN;TANDOGAN;SERAS;INCEMAN;TITA;BASSAN;AYDIN;ATES
Genclerbirligi vs. Antalyaspor - Sunday October 16 - 2011,Genclerbirligi,hard,4-2-3-1,KOSE;SEDEF;CURRI;DEMIR;CAN;AZOFEIFA;AYDOGDU;KILICASLAN;DELIBALTA;MERIC;TUM
Istanbul Buyuksehir Belediyespor vs. Samsunspor - Sunday October 16 - 2011,Istanbul Buyuksehir Belediyespor,hard,4-2-3-1,ZULALOGLU;EKSIOGLU;DEPE;ZAYATTE;HASPOLATLI;INANC;TEKDEMIR;DOKA MADUREIRA;HOLMEN;VISCA;WEBO
Istanbul Buyuksehir Belediyespor vs. Samsunspor - Sunday October 16 - 2011,Samsunspor,hard,4-2-3-1,SAHIN;TEBER;ANDRE BAHIA;TOKAK;LAZAR;SARP;FINK;BAYRAKTAR;DOMINGUEZ;EKIGHO;BANCE
Manisaspor vs. Kardemir Dc Karabukspor - Sunday October 16 - 2011,Kardemir Dc Karabukspor,hard,4-5-1,USAK;SERIC;NIKOLIC;OZDIN;OZGENC;SOYLER;RAGUED;CERNAT;HIKMET;CEBE;BATDAL
Manisaspor vs. Kardemir Dc Karabukspor - Sunday October 16 - 2011,Manisaspor,hard,4-2-3-1,AVCIBAY;KLUKOWSKI;AKAMINKO;TOK;BARIS;GUVEN;CALISKAN;GOKOGLAN;ERDOGAN;OZEK;PROMISE
Mersin Idmanyurdu vs. Fenerbahce - Monday October 17 - 2011,Fenerbahce,easy,4-5-1,GUNOK;ZIEGLER;IRTEGUN;YOBO;SAM;ERKIN;CRISTIAN;ALEX;BELOZOGLU;HURMACI;BIENVENU
Mersin Idmanyurdu vs. Fenerbahce - Monday October 17 - 2011,Mersin Idmanyurdu,hard,4-1-4-1,ARIKAN;KECELI;BOUM;KAS;GUVEN;BEN YAHIA;ANDRE MORITZ;ZURITA;OZGUR;OZOKWO;BETO
Antalyaspor vs. Galatasaray - Friday October 21 - 2011,Antalyaspor,hard,4-3-3,CATKIC;NIZAM;BARIS;TURAN;TANDOGAN;INCEMAN;DAGASAN;SERAS;TITA;ATES;BOYRAZ
Antalyaspor vs. Galatasaray - Friday October 21 - 2011,Galatasaray,easy,4-4-2,MUSLERA;BALTA;UJFALUSI;ZAN;SARIOGLU;YILMAZ;INAN;FELIPE MELO;EBOUE;BAROS;ELMANDER
Bursaspor vs. Trabzonspor - Saturday October 22 - 2011,Bursaspor,hard,4-2-3-1,CARSON;WEDERSON;AZIZ;OZTURK;CHRETIEN;N'DIAYE;KOCAK;IPEK;BATALLA;BAHADIR;SESTAK
Bursaspor vs. Trabzonspor - Saturday October 22 - 2011,Trabzonspor,easy,4-3-3,ZENGIN;CELUSTKA;GLOWACKI;KACAR;BALCI;ZOKORA;MIERZEJEWSKI;COLMAN;ALTINTOP;YILMAZ;ALANZINHO
Eskisehirspor vs. Manisaspor - Saturday October 22 - 2011,Eskisehirspor,hard,4-2-3-1,IVESA;DEDE;DIEGO ANGELO;NADAREVIC;ARSLAN;POTUK;COSKUN;SOLMAZ;TELLO;OZBAYRAKTAR;BOYD
Eskisehirspor vs. Manisaspor - Saturday October 22 - 2011,Manisaspor,hard,4-2-3-1,AVCIBAY;KLUKOWSKI;AKAMINKO;TOK;BARIS;INCEDEMIR;GUVEN;ERDOGAN;CALISKAN;OZEK;PROMISE
Kardemir Dc Karabukspor vs. Istanbul Buyuksehir Belediyespor - Saturday October 22 - 2011,Istanbul Buyuksehir Belediyespor,hard,4-2-3-1,ZULALOGLU;EKSIOGLU;DEPE;ZAYATTE;HASPOLATLI;INANC;TEKDEMIR;DOKA MADUREIRA;HOLMEN;VISCA;WEBO
